Text,Book,Chapter
"'Gainst him, a mighty warrior too.",BOOK I,Canto LV. The Hermitage Burnt.
"Strong, as a soldier born and bred,--",BOOK I,Canto LV. The Hermitage Burnt.
"Great, as a king whom regions dread.",BOOK I,Canto LV. The Hermitage Burnt.
"See! what a host the conqueror leads,",BOOK I,Canto LV. The Hermitage Burnt.
"With elephants, and cars, and steeds.",BOOK I,Canto LV. The Hermitage Burnt.
O'er countless bands his pennons fly;,BOOK I,Canto LV. The Hermitage Burnt.
"So is he mightier far than I.""",BOOK I,Canto LV. The Hermitage Burnt.
"He spoke. Then she, in lowly mood,",BOOK I,Canto LV. The Hermitage Burnt.
To that high saint her speech renewed:,BOOK I,Canto LV. The Hermitage Burnt.
"""So judge not they who wisest are:",BOOK I,Canto LV. The Hermitage Burnt.
The Brahman's might is mightier far.,BOOK I,Canto LV. The Hermitage Burnt.
"For Brahmans strength from Heaven derive,",BOOK I,Canto LV. The Hermitage Burnt.
And warriors bow when Brahmans strive.,BOOK I,Canto LV. The Hermitage Burnt.
A boundless power 'tis thine to wield:,BOOK I,Canto LV. The Hermitage Burnt.
"To such a king thou shouldst not yield,",BOOK I,Canto LV. The Hermitage Burnt.
"Who, very mighty though he be,--",BOOK I,Canto LV. The Hermitage Burnt.
"So fierce thy strength,--must bow to thee.",BOOK I,Canto LV. The Hermitage Burnt.
"Command me, Saint. Thy power divine",BOOK I,Canto LV. The Hermitage Burnt.
Has brought me here and made me thine;,BOOK I,Canto LV. The Hermitage Burnt.
"And I, howe'er the tyrant boast,",BOOK I,Canto LV. The Hermitage Burnt.
"Will tame his pride and slay his host.""",BOOK I,Canto LV. The Hermitage Burnt.
"Then cried the glorious sage: ""Create",BOOK I,Canto LV. The Hermitage Burnt.
"A mighty force the foe to mate.""",BOOK I,Canto LV. The Hermitage Burnt.
"She lowed, and quickened into life,",BOOK I,Canto LV. The Hermitage Burnt.
"Pahlavas,(226) burning for the strife,",BOOK I,Canto LV. The Hermitage Burnt.
King Visvamitra's army slew,BOOK I,Canto LV. The Hermitage Burnt.
Before the very leader's view.,BOOK I,Canto LV. The Hermitage Burnt.
"The monarch in excessive ire,",BOOK I,Canto LV. The Hermitage Burnt.
"His eyes with fury darting fire,",BOOK I,Canto LV. The Hermitage Burnt.
Rained every missile on the foe,BOOK I,Canto LV. The Hermitage Burnt.
Till all the Pahlavas were low.,BOOK I,Canto LV. The Hermitage Burnt.
"She, seeing all her champions slain,",BOOK I,Canto LV. The Hermitage Burnt.
Lying by thousands on the plain.,BOOK I,Canto LV. The Hermitage Burnt.
"Created, by her mere desire,",BOOK I,Canto LV. The Hermitage Burnt.
"Yavans and Sakas, fierce and dire.",BOOK I,Canto LV. The Hermitage Burnt.
And all the ground was overspread,BOOK I,Canto LV. The Hermitage Burnt.
With Yavans and with Sakas dread:,BOOK I,Canto LV. The Hermitage Burnt.
"A host of warriors bright and strong,",BOOK I,Canto LV. The Hermitage Burnt.
And numberless in closest throng:,BOOK I,Canto LV. The Hermitage Burnt.
"The threads within the lotus stem,",BOOK I,Canto LV. The Hermitage Burnt.
"So densely packed, might equal them.",BOOK I,Canto LV. The Hermitage Burnt.
"In gold-hued mail 'against war's attacks,",BOOK I,Canto LV. The Hermitage Burnt.
"Each bore a sword and battle-axe,",BOOK I,Canto LV. The Hermitage Burnt.
"The royal host, where'er these came,",BOOK I,Canto LV. The Hermitage Burnt.
Fell as if burnt with ravening flame.,BOOK I,Canto LV. The Hermitage Burnt.
"The monarch, famous through the world",BOOK I,Canto LV. The Hermitage Burnt.
"Again his fearful weapons hurled,",BOOK I,Canto LV. The Hermitage Burnt.
"That made Kambojas,(227) Barbars,(228) all,",BOOK I,Canto LV. The Hermitage Burnt.
"With Yavans, troubled, flee and fall.",BOOK I,Canto LV. The Hermitage Burnt.
"So o'er the field that host lay strown,",BOOK I,Canto LV. The Hermitage Burnt.
By Visvamitra's darts o'erthrown.,BOOK I,Canto LV. The Hermitage Burnt.
Then thus Vasishtha charged the cow:,BOOK I,Canto LV. The Hermitage Burnt.
"""Create with all thy vigour now.""",BOOK I,Canto LV. The Hermitage Burnt.
"Forth sprang Kambojas, as she lowed;",BOOK I,Canto LV. The Hermitage Burnt.
"Bright as the sun their faces glowed,",BOOK I,Canto LV. The Hermitage Burnt.
"Forth from her udder Barbars poured,--",BOOK I,Canto LV. The Hermitage Burnt.
"Soldiers who brandished spear and sword,--",BOOK I,Canto LV. The Hermitage Burnt.
"And Yavans with their shafts and darts,",BOOK I,Canto LV. The Hermitage Burnt.
And Sakas from her hinder parts.,BOOK I,Canto LV. The Hermitage Burnt.
"And every pore upon her fell,",BOOK I,Canto LV. The Hermitage Burnt.
"And every hair-producing cell,",BOOK I,Canto LV. The Hermitage Burnt.
"With Mlechchhas(229) and Kiratas(230) teemed,",BOOK I,Canto LV. The Hermitage Burnt.
And forth with them Haritas streamed.,BOOK I,Canto LV. The Hermitage Burnt.
"And Visvamitra's mighty force,",BOOK I,Canto LV. The Hermitage Burnt.
"Car, elephant, and foot, and horse,",BOOK I,Canto LV. The Hermitage Burnt.
"Fell in a moment's time, subdued",BOOK I,Canto LV. The Hermitage Burnt.
By that tremendous multitude.,BOOK I,Canto LV. The Hermitage Burnt.
"The monarch's hundred sons, whose eyes",BOOK I,Canto LV. The Hermitage Burnt.
"Beheld the rout in wild surprise,",BOOK I,Canto LV. The Hermitage Burnt.
"Armed with all weapons, mad with rage,",BOOK I,Canto LV. The Hermitage Burnt.
Rushed fiercely on the holy sage.,BOOK I,Canto LV. The Hermitage Burnt.
"One cry he raised, one glance he shot,",BOOK I,Canto LV. The Hermitage Burnt.
And all fell scorched upon the spot:,BOOK I,Canto LV. The Hermitage Burnt.
"Burnt by the sage to ashes, they",BOOK I,Canto LV. The Hermitage Burnt.
"With horse, and foot, and chariot, lay.",BOOK I,Canto LV. The Hermitage Burnt.
"The monarch mourned, with shame and pain,",BOOK I,Canto LV. The Hermitage Burnt.
"His army lost, his children slain,",BOOK I,Canto LV. The Hermitage Burnt.
"Like Ocean when his roar is hushed,",BOOK I,Canto LV. The Hermitage Burnt.
Or some great snake whose fangs are crushed:,BOOK I,Canto LV. The Hermitage Burnt.
Or as in swift eclipse the Sun,BOOK I,Canto LV. The Hermitage Burnt.
Dark with the doom he cannot shun:,BOOK I,Canto LV. The Hermitage Burnt.
Or a poor bird with mangled wing--,BOOK I,Canto LV. The Hermitage Burnt.
"So, reft of sons and host, the king",BOOK I,Canto LV. The Hermitage Burnt.
"No longer, by ambition fired,",BOOK I,Canto LV. The Hermitage Burnt.
The pride of war his breast inspired.,BOOK I,Canto LV. The Hermitage Burnt.
He gave his empire to his son--,BOOK I,Canto LV. The Hermitage Burnt.
"Of all he had, the only one:",BOOK I,Canto LV. The Hermitage Burnt.
And bade him rule as kings are taught,BOOK I,Canto LV. The Hermitage Burnt.
Then straight a hermit-grove he sought.,BOOK I,Canto LV. The Hermitage Burnt.
"Far to Himalaya's side he fled,",BOOK I,Canto LV. The Hermitage Burnt.
"Which bards and Nagas visited,",BOOK I,Canto LV. The Hermitage Burnt.
"And, Mahadeva's(231) grace to earn,",BOOK I,Canto LV. The Hermitage Burnt.
He gave his life to penance stern.,BOOK I,Canto LV. The Hermitage Burnt.
"A lengthened season thus passed by,",BOOK I,Canto LV. The Hermitage Burnt.
"When Siva's self, the Lord most High,",BOOK I,Canto LV. The Hermitage Burnt.
"Whose banner shows the pictured bull,(232)",BOOK I,Canto LV. The Hermitage Burnt.
"Appeared, the God most bountiful:",BOOK I,Canto LVI. Visvamitra's Vow.
"""Why fervent thus in toil and pain?",BOOK I,Canto LVI. Visvamitra's Vow.
What brings thee here? what boon to gain?,BOOK I,Canto LVI. Visvamitra's Vow.
"Thy heart's desire, O Monarch, speak:",BOOK I,Canto LVI. Visvamitra's Vow.
"I grant the boons which mortals seek.""",BOOK I,Canto LVI. Visvamitra's Vow.
"The king, his adoration paid,",BOOK I,Canto LVI. Visvamitra's Vow.
To Mahadeva answer made:,BOOK I,Canto LVI. Visvamitra's Vow.
"""If thou hast deemed me fit to win",BOOK I,Canto LVI. Visvamitra's Vow.
"Thy favour, O thou void of sin,",BOOK I,Canto LVI. Visvamitra's Vow.
"On me, O mighty God, bestow",BOOK I,Canto LVI. Visvamitra's Vow.
"The wondrous science of the bow,",BOOK I,Canto LVI. Visvamitra's Vow.
"All mine, complete in every part,",BOOK I,Canto LVI. Visvamitra's Vow.
With secret spell and mystic art.,BOOK I,Canto LVI. Visvamitra's Vow.
To me be all the arms revealed,BOOK I,Canto LVI. Visvamitra's Vow.
"That Gods, and saints, and Titans wield,",BOOK I,Canto LVI. Visvamitra's Vow.
And every dart that arms the hands,BOOK I,Canto LVI. Visvamitra's Vow.
"Of spirits, fiends and minstrel bands,",BOOK I,Canto LVI. Visvamitra's Vow.
"Be mine, O Lord supreme in place,",BOOK I,Canto LVI. Visvamitra's Vow.
"This token of thy boundless grace.""",BOOK I,Canto LVI. Visvamitra's Vow.
"The Lord of Gods then gave consent,",BOOK I,Canto LVI. Visvamitra's Vow.
And to his heavenly mansion went.,BOOK I,Canto LVI. Visvamitra's Vow.
"Triumphant in the arms he held,",BOOK I,Canto LVI. Visvamitra's Vow.
The monarch's breast with glory swelled.,BOOK I,Canto LVI. Visvamitra's Vow.
"So swells the ocean, when upon",BOOK I,Canto LVI. Visvamitra's Vow.
His breast the full moon's beams have shone.,BOOK I,Canto LVI. Visvamitra's Vow.
Already in his mind he viewed,BOOK I,Canto LVI. Visvamitra's Vow.
Vasishtha at his feet subdued.,BOOK I,Canto LVI. Visvamitra's Vow.
"He sought that hermit's grove, and there",BOOK I,Canto LVI. Visvamitra's Vow.
"Launched his dire weapons through the air,",BOOK I,Canto LVI. Visvamitra's Vow.
Till scorched by might that none could stay,BOOK I,Canto LVI. Visvamitra's Vow.
The hermitage in ashes lay.,BOOK I,Canto LVI. Visvamitra's Vow.
"Where'er the inmates saw, aghast,",BOOK I,Canto LVI. Visvamitra's Vow.
"The dart that Visvamitra cast,",BOOK I,Canto LVI. Visvamitra's Vow.
To every side they turned and fled,BOOK I,Canto LVI. Visvamitra's Vow.
In hundreds forth disquieted.,BOOK I,Canto LVI. Visvamitra's Vow.
"Vasishtha's pupils caught the fear,",BOOK I,Canto LVI. Visvamitra's Vow.
"And every bird and every deer,",BOOK I,Canto LVI. Visvamitra's Vow.
And fled in wild confusion forth,BOOK I,Canto LVI. Visvamitra's Vow.
"Eastward and westward, south and north,",BOOK I,Canto LVI. Visvamitra's Vow.
And so Vasishtha's holy shade,BOOK I,Canto LVI. Visvamitra's Vow.
"A solitary wild was made,",BOOK I,Canto LVI. Visvamitra's Vow.
"Silent awhile, for not a sound",BOOK I,Canto LVI. Visvamitra's Vow.
Disturbed the hush that was around.,BOOK I,Canto LVI. Visvamitra's Vow.
"Vasishtha then, with eager cry,",BOOK I,Canto LVI. Visvamitra's Vow.
"Called, ""Fear not, friends, nor seek to fly.",BOOK I,Canto LVI. Visvamitra's Vow.
"This son of Gadhi dies to-day,",BOOK I,Canto LVI. Visvamitra's Vow.
"Like hoar-frost in the morning's ray.""",BOOK I,Canto LVI. Visvamitra's Vow.
"Thus having said, the glorious sage",BOOK I,Canto LVI. Visvamitra's Vow.
Spoke to the king in words of rage:,BOOK I,Canto LVI. Visvamitra's Vow.
"""Because thou hast destroyed this grove",BOOK I,Canto LVI. Visvamitra's Vow.
"Which long in holy quiet throve,",BOOK I,Canto LVI. Visvamitra's Vow.
"By folly urged to senseless crime,",BOOK I,Canto LVI. Visvamitra's Vow.
"Now shalt thou die before thy time.""",BOOK I,Canto LVI. Visvamitra's Vow.
"But Visvamitra, at the threat",BOOK I,Canto LVI. Visvamitra's Vow.
"Of that illustrious anchoret,",BOOK I,Canto LVI. Visvamitra's Vow.
"Cried, as he launched with ready hand",BOOK I,Canto LVI. Visvamitra's Vow.
"A fiery weapon, ""Stand, O Stand!""",BOOK I,Canto LVI. Visvamitra's Vow.
"Vasishtha, wild with rage and hate,",BOOK I,Canto LVI. Visvamitra's Vow.
"Raising, as 'twere the Rod of Fate,",BOOK I,Canto LVI. Visvamitra's Vow.
"His mighty Brahman wand on high,",BOOK I,Canto LVI. Visvamitra's Vow.
To Visvamitra made reply:,BOOK I,Canto LVI. Visvamitra's Vow.
"""Nay, stand, O Warrior thou, and show",BOOK I,Canto LVI. Visvamitra's Vow.
"What soldier can, 'gainst Brahman foe.",BOOK I,Canto LVI. Visvamitra's Vow.
"O Gadhi's son, thy days are told;",BOOK I,Canto LVI. Visvamitra's Vow.
"Thy pride is tamed, thy dart is cold.",BOOK I,Canto LVI. Visvamitra's Vow.
How shall a warrior's puissance dare,BOOK I,Canto LVI. Visvamitra's Vow.
With Brahman's awful strength compare?,BOOK I,Canto LVI. Visvamitra's Vow.
"To-day, base Warrior, shall thou feel",BOOK I,Canto LVI. Visvamitra's Vow.
"That God-sent might is more than steel.""",BOOK I,Canto LVI. Visvamitra's Vow.
"He raised his Brahman staff, nor missed",BOOK I,Canto LVI. Visvamitra's Vow.
The fiery dart that near him hissed:,BOOK I,Canto LVI. Visvamitra's Vow.
"And quenched the fearful weapon fell,",BOOK I,Canto LVI. Visvamitra's Vow.
As flame beneath the billow's swell.,BOOK I,Canto LVI. Visvamitra's Vow.
Then Gadhi's son in fury threw,BOOK I,Canto LVI. Visvamitra's Vow.
Lord Varun's arm and Rudra's too:,BOOK I,Canto LVI. Visvamitra's Vow.
Indra's fierce bolt that all destroys;,BOOK I,Canto LVI. Visvamitra's Vow.
That which the Lord of Herds employs:,BOOK I,Canto LVI. Visvamitra's Vow.
"The Human, that which minstrels keep,",BOOK I,Canto LVI. Visvamitra's Vow.
"The deadly Lure, the endless Sleep:",BOOK I,Canto LVI. Visvamitra's Vow.
"The Yawner, and the dart which charms;",BOOK I,Canto LVI. Visvamitra's Vow.
"Lament and Torture, fearful arms:",BOOK I,Canto LVI. Visvamitra's Vow.
"The Terrible, the dart which dries,",BOOK I,Canto LVI. Visvamitra's Vow.
"The Thunderbolt which quenchless flies,",BOOK I,Canto LVI. Visvamitra's Vow.
"And Fate's dread net, and Brahma's noose,",BOOK I,Canto LVI. Visvamitra's Vow.
And that which waits for Varun's use:,BOOK I,Canto LVI. Visvamitra's Vow.
The dart he loves who wields the bow,BOOK I,Canto LVI. Visvamitra's Vow.
"Pinaka, and twin bolts that glow",BOOK I,Canto LVI. Visvamitra's Vow.
"With fury as they flash and fly,",BOOK I,Canto LVI. Visvamitra's Vow.
The quenchless Liquid and the Dry:,BOOK I,Canto LVI. Visvamitra's Vow.
"The dart of Vengeance, swift to kill:",BOOK I,Canto LVI. Visvamitra's Vow.
"The Goblins' dart, the Curlew's Bill:",BOOK I,Canto LVI. Visvamitra's Vow.
"The discus both of Fate and Right,",BOOK I,Canto LVI. Visvamitra's Vow.
"And Vishnu's, of unerring flight:",BOOK I,Canto LVI. Visvamitra's Vow.
"The Wind-God's dart, the Troubler dread,",BOOK I,Canto LVII. Trisanku.
The weapon named the Horse's Head.,BOOK I,Canto LVII. Trisanku.
"From his fierce hand two spears were thrown,",BOOK I,Canto LVII. Trisanku.
And the great mace that smashes bone;,BOOK I,Canto LVII. Trisanku.
"The dart of spirits of the air,",BOOK I,Canto LVII. Trisanku.
And that which Fate exults to bear:,BOOK I,Canto LVII. Trisanku.
"The Trident dart which slaughters foes,",BOOK I,Canto LVII. Trisanku.
And that which hanging skulls compose:(233),BOOK I,Canto LVII. Trisanku.
These fearful darts in fiery rain,BOOK I,Canto LVII. Trisanku.
"He hurled upon the saint amain,",BOOK I,Canto LVII. Trisanku.
An awful miracle to view.,BOOK I,Canto LVII. Trisanku.
"But as the ceaseless tempest flew,",BOOK I,Canto LVII. Trisanku.
The sage with wand of God-sent power,BOOK I,Canto LVII. Trisanku.
Still swallowed up that fiery shower.,BOOK I,Canto LVII. Trisanku.
"Then Gadhi's son, when these had failed,",BOOK I,Canto LVII. Trisanku.
With Brahma's dart his foe assailed.,BOOK I,Canto LVII. Trisanku.
"The Gods, with Indra at their head,",BOOK I,Canto LVII. Trisanku.
"And Nagas, quailed disquieted,",BOOK I,Canto LVII. Trisanku.
"And saints and minstrels, when they saw",BOOK I,Canto LVII. Trisanku.
The king that awful weapon draw;,BOOK I,Canto LVII. Trisanku.
"And the three worlds were filled with dread,",BOOK I,Canto LVII. Trisanku.
And trembled as the missile sped.,BOOK I,Canto LVII. Trisanku.
"The saint, with Brahman wand, empowered",BOOK I,Canto LVII. Trisanku.
By lore divine that dart devoured.,BOOK I,Canto LVII. Trisanku.
Nor could the triple world withdraw,BOOK I,Canto LVII. Trisanku.
Rapt gazes from that sight of awe;,BOOK I,Canto LVII. Trisanku.
For as he swallowed down the dart,BOOK I,Canto LVII. Trisanku.
"Of Brahma, sparks from every part,",BOOK I,Canto LVII. Trisanku.
"From finest pore and hair-cell, broke",BOOK I,Canto LVII. Trisanku.
Enveloped in a veil of smoke.,BOOK I,Canto LVII. Trisanku.
The staff he waved was all aglow,BOOK I,Canto LVII. Trisanku.
"Like Yama's sceptre, King below,",BOOK I,Canto LVII. Trisanku.
Or like the lurid fire of Fate,BOOK I,Canto LVII. Trisanku.
Whose rage the worlds will desolate.,BOOK I,Canto LVII. Trisanku.
"The hermits, whom that sight had awed,",BOOK I,Canto LVII. Trisanku.
"Extolled the saint, with hymn and laud:",BOOK I,Canto LVII. Trisanku.
"""Thy power, O Sage, is ne'er in vain:",BOOK I,Canto LVII. Trisanku.
Now with thy might thy might restrain.,BOOK I,Canto LVII. Trisanku.
"Be gracious, Master, and allow",BOOK I,Canto LVII. Trisanku.
The worlds to rest from trouble now;,BOOK I,Canto LVII. Trisanku.
"For Visvamitra, strong and dread,",BOOK I,Canto LVII. Trisanku.
"By thee has been discomfited.""",BOOK I,Canto LVII. Trisanku.
"Then, thus addressed, the saint, well pleased,",BOOK I,Canto LVII. Trisanku.
The fury of his wrath appeased.,BOOK I,Canto LVII. Trisanku.
"The king, o'erpowered and ashamed,",BOOK I,Canto LVII. Trisanku.
With many a deep-drawn sigh exclaimed:,BOOK I,Canto LVII. Trisanku.
"""Ah! Warriors' strength is poor and slight;",BOOK I,Canto LVII. Trisanku.
A Brahman's power is truly might.,BOOK I,Canto LVII. Trisanku.
This Brahman staff the hermit held,BOOK I,Canto LVII. Trisanku.
The fury of my darts has quelled.,BOOK I,Canto LVII. Trisanku.
"This truth within my heart impressed,",BOOK I,Canto LVII. Trisanku.
With senses ruled and tranquil breast,BOOK I,Canto LVII. Trisanku.
"My task austere will I begin,",BOOK I,Canto LVII. Trisanku.
"And Brahmanhood will strive to win.""",BOOK I,Canto LVII. Trisanku.
"Then with his heart consumed with woe,",BOOK I,Canto LVII. Trisanku.
Still brooding on his overthrow,BOOK I,Canto LVII. Trisanku.
"By the great saint he had defied,",BOOK I,Canto LVII. Trisanku.
At every breath the monarch sighed.,BOOK I,Canto LVII. Trisanku.
"Forth from his home his queen he led,",BOOK I,Canto LVII. Trisanku.
And to a land far southward fled.,BOOK I,Canto LVII. Trisanku.
"There, fruit and roots his only food,",BOOK I,Canto LVII. Trisanku.
"He practised penance, sense-subdued,",BOOK I,Canto LVII. Trisanku.
And in that solitary spot,BOOK I,Canto LVII. Trisanku.
Four virtuous sons the king begot:,BOOK I,Canto LVII. Trisanku.
"Havishyand, from the offering named,",BOOK I,Canto LVII. Trisanku.
"And Madhushyand, for sweetness famed,",BOOK I,Canto LVII. Trisanku.
"Maharath, chariot-borne in fight,",BOOK I,Canto LVII. Trisanku.
And Dridhanetra strong of sight.,BOOK I,Canto LVII. Trisanku.
"A thousand years had passed away,",BOOK I,Canto LVII. Trisanku.
"When Brahma, Sire whom all obey,",BOOK I,Canto LVII. Trisanku.
Addressed in pleasant words like these,BOOK I,Canto LVII. Trisanku.
Him rich in long austerities:,BOOK I,Canto LVII. Trisanku.
"""Thou by the penance, Kusik's son,",BOOK I,Canto LVII. Trisanku.
A place 'mid royal saints hast won.,BOOK I,Canto LVII. Trisanku.
"Pleased with thy constant penance, we",BOOK I,Canto LVII. Trisanku.
"This lofty rank assign to thee.""",BOOK I,Canto LVII. Trisanku.
Thus spoke the glorious Lord most High,BOOK I,Canto LVII. Trisanku.
"Father of earth and air and sky,",BOOK I,Canto LVII. Trisanku.
And with the Gods around him spread,BOOK I,Canto LVII. Trisanku.
Home to his changeless sphere he sped.,BOOK I,Canto LVII. Trisanku.
"But Visvamitra scorned the grace,",BOOK I,Canto LVII. Trisanku.
And bent in shame his angry face.,BOOK I,Canto LVIII. Trisanku Cursed.
"Burning with rage, o'erwhelmed with grief,",BOOK I,Canto LVIII. Trisanku Cursed.
Thus in his heart exclaimed the chief:,BOOK I,Canto LVIII. Trisanku Cursed.
"""No fruit, I ween, have I secured",BOOK I,Canto LVIII. Trisanku Cursed.
"By strictest penance long endured,",BOOK I,Canto LVIII. Trisanku Cursed.
If Gods and all the saints decree,BOOK I,Canto LVIII. Trisanku Cursed.
"To make but royal saint of me.""",BOOK I,Canto LVIII. Trisanku Cursed.
"Thus pondering, he with sense subdued,",BOOK I,Canto LVIII. Trisanku Cursed.
With sternest zeal his vows renewed.,BOOK I,Canto LVIII. Trisanku Cursed.
"Then reigned a monarch, true of soul,",BOOK I,Canto LVIII. Trisanku Cursed.
Who kept each sense in firm control;,BOOK I,Canto LVIII. Trisanku Cursed.
"Of old Ikshvaku's line he came,",BOOK I,Canto LVIII. Trisanku Cursed.
That glories in Trisanku's(234) name.,BOOK I,Canto LVIII. Trisanku Cursed.
"Within his breast, O Raghu's child,",BOOK I,Canto LVIII. Trisanku Cursed.
"Arose a longing, strong and wild,",BOOK I,Canto LVIII. Trisanku Cursed.
"Great offerings to the Gods to pay,",BOOK I,Canto LVIII. Trisanku Cursed.
"And win, alive, to heaven his way.",BOOK I,Canto LVIII. Trisanku Cursed.
"His priest Vasishtha's aid he sought,",BOOK I,Canto LVIII. Trisanku Cursed.
And told him of his secret thought.,BOOK I,Canto LVIII. Trisanku Cursed.
But wise Vasishtha showed the hope,BOOK I,Canto LVIII. Trisanku Cursed.
Was far beyond the monarch's scope.,BOOK I,Canto LVIII. Trisanku Cursed.
"Trisanku then, his suit denied,",BOOK I,Canto LVIII. Trisanku Cursed.
"Far to the southern region hied,",BOOK I,Canto LVIII. Trisanku Cursed.
To beg Vasishtha's sons to aid,BOOK I,Canto LVIII. Trisanku Cursed.
The mighty plan his soul had made.,BOOK I,Canto LVIII. Trisanku Cursed.
"There King Trisanku, far renowned,",BOOK I,Canto LVIII. Trisanku Cursed.
"Vasishtha's hundred children found,",BOOK I,Canto LVIII. Trisanku Cursed.
"Each on his fervent vows intent,",BOOK I,Canto LVIII. Trisanku Cursed.
For mind and fame preeminent.,BOOK I,Canto LVIII. Trisanku Cursed.
"To these the famous king applied,",BOOK I,Canto LVIII. Trisanku Cursed.
Wise children of his holy guide.,BOOK I,Canto LVIII. Trisanku Cursed.
Saluting each in order due.,BOOK I,Canto LVIII. Trisanku Cursed.
"His eyes, for shame, he downward threw,",BOOK I,Canto LVIII. Trisanku Cursed.
"And reverent hands together pressed,",BOOK I,Canto LVIII. Trisanku Cursed.
The glorious company addressed:,BOOK I,Canto LVIII. Trisanku Cursed.
"""I as a humble suppliant seek",BOOK I,Canto LVIII. Trisanku Cursed.
Succour of you who aid the weak.,BOOK I,Canto LVIII. Trisanku Cursed.
"A mighty offering I would pay,",BOOK I,Canto LVIII. Trisanku Cursed.
"But sage Vasishtha answered, Nay.",BOOK I,Canto LVIII. Trisanku Cursed.
"Be yours permission to accord,",BOOK I,Canto LVIII. Trisanku Cursed.
And to my rites your help afford.,BOOK I,Canto LVIII. Trisanku Cursed.
"Sons of my guide, to each of you",BOOK I,Canto LVIII. Trisanku Cursed.
With lowly reverence here I sue;,BOOK I,Canto LVIII. Trisanku Cursed.
"To each, intent on penance-vow,",BOOK I,Canto LVIII. Trisanku Cursed.
"O Brahmans, low my head I bow,",BOOK I,Canto LVIII. Trisanku Cursed.
And pray you each with ready heart,BOOK I,Canto LVIII. Trisanku Cursed.
"In my great rite to bear a part,",BOOK I,Canto LVIII. Trisanku Cursed.
That in the body I may rise,BOOK I,Canto LVIII. Trisanku Cursed.
And dwell with Gods within the skies.,BOOK I,Canto LVIII. Trisanku Cursed.
"Sons of my guide, none else I see",BOOK I,Canto LVIII. Trisanku Cursed.
Can give what he refuses me.,BOOK I,Canto LVIII. Trisanku Cursed.
Ikshvaku's children still depend,BOOK I,Canto LVIII. Trisanku Cursed.
Upon their guide most reverend;,BOOK I,Canto LVIII. Trisanku Cursed.
"And you, as nearest in degree",BOOK I,Canto LVIII. Trisanku Cursed.
"To him, my deities shall be!""",BOOK I,Canto LVIII. Trisanku Cursed.
"Trisanku's speech the hundred heard,",BOOK I,Canto LVIII. Trisanku Cursed.
"And thus replied, to anger stirred:",BOOK I,Canto LVIII. Trisanku Cursed.
"""Why foolish King, by him denied,",BOOK I,Canto LVIII. Trisanku Cursed.
"Whose truthful lips have never lied,",BOOK I,Canto LVIII. Trisanku Cursed.
"Dost thou transgress his prudent rule,",BOOK I,Canto LVIII. Trisanku Cursed.
"And seek, for aid, another school?(235)",BOOK I,Canto LVIII. Trisanku Cursed.
Ikshvaku's sons have aye relied,BOOK I,Canto LVIII. Trisanku Cursed.
Most surely on their holy guide:,BOOK I,Canto LVIII. Trisanku Cursed.
"Then how dost thou, fond Monarch, dare",BOOK I,Canto LVIII. Trisanku Cursed.
Transgress the rule his lips declare?,BOOK I,Canto LVIII. Trisanku Cursed.
"""Thy wish is vain,"" the saint replied,",BOOK I,Canto LVIII. Trisanku Cursed.
And bade thee cast the plan aside.,BOOK I,Canto LVIII. Trisanku Cursed.
"Then how can we, his sons, pretend",BOOK I,Canto LVIII. Trisanku Cursed.
In such a rite our aid to lend?,BOOK I,Canto LVIII. Trisanku Cursed.
"O Monarch, of the childish heart,",BOOK I,Canto LVIII. Trisanku Cursed.
Home to thy royal town depart.,BOOK I,Canto LVIII. Trisanku Cursed.
"That mighty saint, thy priest and guide,",BOOK I,Canto LVIII. Trisanku Cursed.
At noblest rites may well preside:,BOOK I,Canto LVIII. Trisanku Cursed.
The worlds for sacrifice combined,BOOK I,Canto LVIII. Trisanku Cursed.
"A worthier priest could never find.""",BOOK I,Canto LVIII. Trisanku Cursed.
"Such speech of theirs the monarch heard,",BOOK I,Canto LVIII. Trisanku Cursed.
"Though rage distorted every word,",BOOK I,Canto LVIII. Trisanku Cursed.
And to the hermits made reply:,BOOK I,Canto LVIII. Trisanku Cursed.
"""You, like your sire, my suit deny.",BOOK I,Canto LVIII. Trisanku Cursed.
For other aid I turn from you:,BOOK I,Canto LVIII. Trisanku Cursed.
"So, rich in penance, Saints, adieu!""",BOOK I,Canto LVIII. Trisanku Cursed.
"Vasishtha's children heard, and guessed",BOOK I,Canto LVIII. Trisanku Cursed.
"His evil purpose scarce expressed,",BOOK I,Canto LVIII. Trisanku Cursed.
"And cried, while rage their bosoms burned,",BOOK I,Canto LVIII. Trisanku Cursed.
"""Be to a vile Chandala(236) turned!""",BOOK I,Canto LVIII. Trisanku Cursed.
"This said, with lofty thoughts inspired,",BOOK I,Canto LVIII. Trisanku Cursed.
Each to his own retreat retired.,BOOK I,Canto LVIII. Trisanku Cursed.
That night Trisanku underwent,BOOK I,Canto LVIII. Trisanku Cursed.
Sad change in shape and lineament.,BOOK I,Canto LVIII. Trisanku Cursed.
"Next morn, an outcast swart of hue,",BOOK I,Canto LVIII. Trisanku Cursed.
His dusky cloth he round him drew.,BOOK I,Canto LVIII. Trisanku Cursed.
"His hair had fallen from his head,",BOOK I,Canto LIX. The Sons Of Vasishtha.
And roughness o'er his skin was spread.,BOOK I,Canto LIX. The Sons Of Vasishtha.
